"id","name"
"3xdaQ2M4Ee7xXFcJUvhWyj","Muhanda"
"SsscET54FQAkuGG9AvaLvP","NYARURE"
"AhYzYH9XNtrEo3tsx9uC9z","QUARTIER 2"
"GzHqkaHmBA2ZbEZVuXW7JJ","Rukambati"
"mVUXiPUwrnnZjBkRf8JyKh","CDS HC MAKEBUKO"
"YgVMponaZotzwPhmZ3tMJM","CDS NTITA"
"kRUxLVNB5oN6sgKBhqn2nd","NYARUMASHI"
"QuTXK9kZ2CiDcrMsp27rfL","Musenyi"
"67rBi6RhGKF7P6U6JkdvQN","NYARUBIMBA"
"67viscbzdc2nC7QLJtxqvn","Nyamugari"
"Li59NdunSynAixaRurw728","CURABUGUFI"
"LSFePERQeBzTWvxD4b93DM","GITABA"
"TXLnpiNqxY37VdQqNucdKh","BITAGAZWA"
"i6hf5zHPLFMXpLiCSBhwQ3","GITONGWE"
"8nqWfvzWaoRhje8tJduMbX","KANYINYA"
"CQA9xmkyqnmeBHX7HaLALk","BUGENYUZI"
"XS6B6ceTbBgiCU5BhRmnp4","RUTOVU"
"SGArmUpKoNLi72mzbJSATh","NDENGEREZI"
"NFvbXXR4QTdKdqFwfxNDN2","MIKINYA"
"NN7gUuFFSfFrFBkDzzYpJx","RUTONGANIKWA"
"fK9kULDTYsVvdYMBUPUPg9","Nyagifu"
"GqSaMbJ9GPxa73RPW2HApj","SFD_CDS RUSARENDA"
"LYKt5CkTuxhh6kpav4dp77","NYAKABANDA"
"oTrAm9KFa7489hzDDmpDPu","GITONGANIKWA"
"TviLbLJwkfSGTGRJWjYbaf","TR 2 B"
"NRxCCKkzcKyCQ8BYQfcxHG","GAKOMERO"
"cQBjcpXhSFd6coUvtnj49B","KAMATONDE"
"YQYQ7dgy4Vtom48XgLy76X","NYAGATAGARA"
"5jrXFivnezDEcWsMKzrXEL","SFD_ECOFO Mugogo 1"
"YUEyp6u3ogsCZuHu3dDJNd","NTEKO"
"dF22yjC3AjxY6pff4AGaUm","SFD_CDS MUGERA"
"j2V8RwaoaCxsR6immqunWz","KIGWATI"
"3mybbWEQvDeZ7BEpvuz84M","KAROMBO"
"dU9zzMZgMdGtYx6MuUJVEK","KIVOGA"
"NSbe42yv5hherQzE7yE3zj","RABIRO II"
"JEJzYiJefhNMrcwiUuEU9g","MUGOZI"
"RFCsnHG5qpeu4tpeofDaEB","GITONGATI"
"GtxHmbThjcpcxbhki20800","MWENYA"
"GtxHmbThjcpcxbhki20801","NZOBE"
"7R8bFRKN9hAQLupAnVBAbQ","AVENUE RUKO"
